UniqueCode,QualQuantInc,CADIMA Ref,Author,Study,StudyType,PubYear,Journal ,Study ID,Fire,fire.sa,Grazing,grazing.sa,Tourism,tourism.sa,Elevation_Stated,Elevation_Est,Elev_Est_Lower,elev.lower.sa,Elev_Est_Upper,elev.upper.sa,Slope,Slope_New,Landform,Aspect,Temperature,Rainfall ,Snow,Bare ground,bareground.sa,Study site,Studysite,site.map,coord.x.map,coord.y.map,studysite.sa,Studysite.aggregate,StudySite.LatLong,Loc.y,Loc.x,Studysite.aggregate.2,Loc.y.2,Loc.x.2,Study design,Independence?,Study details ,Sampling method ,Scale,N,r,Other? ,Reason for study,Initial ES?,Aggregate.InitialES,Aggregate.InitialES2,Treatment ,TreatmentAggregate1,TreatmentAggregate2,Treatment_Thematic,Treatment_Thematic1,TimeSinceFire,TimeSinceGrazing,Response ,Family,Form.Category,Alpine.Zone,Region,Groundwater Association,Ecosystem Types,Seeder.Resprouter,Old.Response ,Response.Level,Metric,Metric-Notes,Metric.Aggregate,Metric.Aggregate2,Metric.Aggregate.Old,QualDirection,Calc notes,NT.C.Level,NT.C.Year,NT.C.TimeSince,NT.C.Mean,NT.C.SE,NT.C.SD,NT.C.N,NT.C.SDInterpolated?,NT.C.SDInterpolated,NT.C.Imputation / Notes,NT.E.Level ,NT.E.Year,NT.E.TimeSince,NT.E.Mean,NT.E.SE,NT.E.SD,NT.E.N,NT.E.SDInterpolated,NT.E.Imputation / Notes,NT.Change,T.C.InitialYr.Level ,T.C.InitialYr.Year,T.C.InitialYr.TimeSince,T.C.InitialYr.Mean,T.C.InitialYr.SE,T.C.InitialYr.SD,T.C.InitialYr.N,T.C.InitialYr.SDInterpolated?,T.C.InitialYr.Imputation / Notes,T.C.FinalYr.Year,T.C.FinalYr.TimeSince,T.C.FinalYr.Mean,T.C.FinalYr.SE,T.C.FinalYr.SD,T.C.FinalYr.N,T.C.FinalYr.SDInterpolated?,T.C.FinalYr.Imputation / Notes,T.C.FinalYr.Level,C.Change.Mean,C.Change.SD,C.Change.Time,C.Change.Imputation / Notes,T.E.Initial.Level ,T.E.Initial.Year,T.E.InitialYr.TimeSince,T.E.Initial.Mean,T.E.Initial.SE,T.E.Initial.SD,T.E.Initial.SD.Interpolated,T.E.Initial.SD Calculation Notes,T.E.Initial.N,T.E.Initial.Imputation / Notes,T.E.Final.Year,T.E.FinalYr.TimeSince,T.E.Final.Mean,T.E.Final.SE,T.E.Final.SD,T.E.Final.SD.Interpolated,T.E.Final.SD Calculation Notes,T.E.Final.n,T.E.Final.Level,T.E.Final.Imputation / Notes,E.Change.Mean,E.Change.Time,E.Change.SD,E.Change.Imputation / Notes,Abs.Change,C.E.Sig,C.E.SigState,BACITime.sig,w.time.reason,w.time,mean.c.,sd.c.,n.c.,mean.e.,sd.e.,n.e.,bias.BACITime,bias.differentN,bias.timelag,timespan,sa.timespan,Require.Hedges.g,Exclude?,d.stat,d.stat2,d.IG.t2.MD,d.IGPP.Md.e. ,d.IG.t2.s.pooled,d.IG.t2,SE.d.IG.t2,d.IG (MD),"d.IG (SD, pooled)",d.IG.raw.score,SE.d.IG [ (n1 + n2) / (n1 * n2) ],SE.d.IG [ (SMD ^ 2) / (2 (n1 + n2)) ],"d.RM (SD, pooled)",d.RM (SD.d),d.RM (r ),d.RM (MD),d.RM.raw.score,SE.d.RM ( (2 (1-r)) / n),SE.d.RM ( SMD ^2 / 2n ),SE.d.RM,SD(diff) ^2,r,d(IG).from.d(RM),,initial.TE,initial.se.TE,Require Hedges g transformation? ,n,Hedges g corrected TE,TE,se.TE.raw,se.TE
1,QualOnly,14,"Camac et al. 2013, fire severity",Camac et al. 2013,Published Paper,2013,Austral Ecology,CH,2003,Burnt < 20 ya,"Partial cease 1991, total cease 2003",Ceased,Unspecified,Unspecified,NA,1600-1800,1600,1200 - 1600,1800,> 1600,Unspecified,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,"Higher burnt, lower unburnt ",Increase,Bogong High Plains,"BHP, Victoria",Bogong High Plains,-36.88643224,147.2418571,Mainland,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"40 sites at random, transect with cover recorded (single 50m transect per site, fix 6m2 quadrats at 10m intervals). ","Field, observational",Single site,200,5,,Recovery from fire,Closed heathland (dry),Heathland (dry),Heathland,Fire (c 2003) + High bare ground (15% - 20%),Fire ( < 20 ya),Fire ,Fire,Fire,9,,Closed heathland (dry),,,,,,,,Closed heathland (dry),Community / Ecosystem,Shrub cover (%),Shrub cover,Cover-abundance,Cover,Cover,Promote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,No time frame ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Quant+Qual,14,"Camac et al. 2013, fire severity",Camac et al. 2013,Published Paper,2013,Austral Ecology,Ohb,2003,Burnt < 20 ya,"Partial cease 1991, total cease 2003",Ceased,Unspecified,Unspecified,NA,1600-1800,1600,1200 - 1600,1800,> 1600,Unspecified,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,"Higher burnt, lower unburnt ",Increase,Bogong High Plains,"BHP, Victoria",Bogong High Plains,-36.88643224,147.2418571,Mainland,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"40 sites at random, transect with cover recorded (single 50m transect per site, fix 6m2 quadrats at 10m intervals). ","Field, observational",Single site,200,5,,Recovery from fire,Closed heathland (dry),Heathland (dry),Heathland,Fire (c 2003) + High bare ground (15% - 20%),Fire ( < 20 ya),Fire ,Fire,Fire,9,,Closed heathland (dry),,,,,,,,Closed heathland (dry),Community / Ecosystem,Shrub cover (%),Shrub cover,Cover-abundance,Cover,Cover,Reduce,"Modified BACI with non-time comparator, and time exposure. Have split this into 2 separate studies. Linked studies denoted to a/b. So: a and b are linked, aa and bb are linked, and aaa bbb are linked. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefire,2002,-1,19.4,,43.0016853,Extracted using WebPlotDigitizer,Extacted form WebPlotDigitiser. ,60,Post fire,2012,9,14.55555556,,25.99129759,Extracted using WebPlotDigitizer,Extacted form WebPlotDigitiser. ,60,"""Exposure final"" is 10 years after fire. ",,-4.844444444,10,-17.01038771,SD assumed to be same for initial and final. ,-4.844444444,0.01,Significant,,t2 - t9,10,19.40,43.00,60.00,14.56,25.99,60,,No,1,10,1 - 20 years,No,No,d(RM),d(RM),,,,,,,,,,,330.8131272,529.0180853,-0.278632012,-4.84,-0.112657083,0.042621067,0.000105763,0.206704694,289.35329006730,0.997355991,-0.008192284,,-0.008192284,0.206704694,No,NA,,-0.008192284,0.206704694,0.206704694
3,Quant+Qual,14,"Camac et al. 2013, fire severity",Camac et al. 2013,Published Paper,2013,Austral Ecology,Oha,2003,Burnt < 20 ya,"Partial cease 1991, total cease 2003",Ceased,Unspecified,Unspecified,NA,1600-1800,1600,1200 - 1600,1800,> 1600,Unspecified,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,"Higher burnt, lower unburnt ",Increase,Bogong High Plains,"BHP, Victoria",Bogong High Plains,-36.88643224,147.2418571,Mainland,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"40 sites at random, transect with cover recorded (single 50m transect per site, fix 6m2 quadrats at 10m intervals). ","Field, observational",Single site,200,5,,Recovery from fire,Closed heathland (dry),Heathland (dry),Heathland,Fire (c 2003) + High bare ground (15% - 20%),Fire ( < 20 ya),Fire ,Fire,Fire,5,,Closed heathland (dry),,,,,,,,Closed heathland (dry),Community / Ecosystem,Shrub cover (%),Shrub cover,Cover-abundance,Cover,Cover,Reduce,"Modified BACI with non-time comparator, and time exposure. Have split this into 2 separate studies. Linked studies denoted to a/b. So: a and b are linked, aa and bb are linked, and aaa bbb are linked. ",No fire 2003,2008,Unburnt,81.5,3.1,9.803060747,10,Yes,Extracted Web Plot Digitizer,Extracted Web Plot Digitizer,Fire 2003,2008,5,25.3,2.7,14.78850905,30,Extracted Web Plot Digitizer,Extracted Web Plot Digitizer,-56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not stated,Not stated,,2003 fire ,5,81.5,9.803060747,10,25.3,14.78850905,30,,Yes,5,NA,No time frame ,No,No,d(IG),d(IG),,,,,,-56.2,32.12168476,-1.749596898,0.133333333,0.038263616,,,,,,,,,,,,,-1.749596898,0.038263616,No,NA,,-1.749596898,0.038263616,0.038263616
4,QualOnly,18,McDougall 2013 Alpine road update,McDougall 2013,Published Paper,2013,Ecological Management and Restoration,AlpineRd,2003,Burnt < 20 ya,Ceased 1993,Ceased,Ongoing (treatment),Ongoing,1750,1750,1750,> 1600,1750,> 1600,"Multiple, slight",Variable slope,Slope,Multiple,Unspecified,Unspecified,Unspecified,Decreasing,Decrease,"Big River Fire Track, Falls Creek, Victoria","Big River Fire Track, Falls Creek, Victoria",Bogong High Plains,-36.88643224,147.2418571,Mainland,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"35 plots 10m apart, 3m wide, sampling using 1m2 frame ","Field, observational",Single site,35,35,Ongoing patch herbicide application,"Recovery from cleared land using exotic species & fertiliser application (localised ""regen"")",Alpine heathland / grassland,Heathland (dry) / Grassland,Heathland / ,Fertiliser applied (c1950s) + Exotic flora planted (c1950s) + Fire (2003),Fire (< 20 ya) + Restoration (> 10 ya),"Fire + Exotic species planted, fertiliser applied","Fire + Exotic species planted, fertiliser applied",Fire,9,NA,Acrothamnus montanus,Ericaceae,Tall,Alpine,Alpine,Dry,"Heathland, Grassland",Resprouter,Leucopogon montanus,Species,Frequency,Count individuals,Cover-abundance,Frequency,Abundance,Promote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,-14,0,0.076530612,0.452761208,Stated,Stated,35,,2019,16,2.2,0.816326531,4.829452884,Stated,Stated,35,,,2.2,30,4.376691676,,2.2,0.00,Significant,,t2 - t10,30,0.00,0.45,35.00,2.20,4.83,35,,No,-6,30,> 20 years,No,No,d(RM),d(RM),,,,,,,,,,,4.316429053,47.04620124,-58.39773907,2.20,4.859073529,3.394156518,0.337294222,1.931696337,19.15543002915,-0.028117359,6.967705958,,6.967705958,1.931696337,No,NA,,6.967705958,1.931696337,1.931696337
5,Quant+Qual,18,McDougall 2013 Alpine road update,McDougall 2013,Published Paper,2013,Ecological Management and Restoration,AlpineRd,2003,Burnt < 20 ya,Ceased 1993,Ceased,Ongoing (treatment),Ongoing,1750,1750,1750,> 1600,1750,> 1600,"Multiple, slight",Variable slope,Slope,Multiple,Unspecified,Unspecified,Unspecified,Decreasing,Decrease,"Big River Fire Track, Falls Creek, Victoria","Big River Fire Track, Falls Creek, Victoria",Bogong High Plains,-36.88643224,147.2418571,Mainland,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"35 plots 10m apart, 3m wide, sampling using 1m2 frame ","Field, observational",Single site,35,35,Ongoing patch herbicide application,"Recovery from cleared land using exotic species & fertiliser application (localised ""regen"")",Alpine heathland / grassland,Heathland (dry) / Grassland,,Fertiliser applied (c1950s) + Exotic flora planted (c1950s) + Fire (2003),Fire (< 20 ya) + Restoration (> 10 ya),"Fire + Exotic species planted, fertiliser applied","Fire + Exotic species planted, fertiliser applied",Fire,16,,Shrubs,,,,,,,,Shrub,Shrub,Shrub cover,Shrub cover,Cover-abundance,Cover,Cover,Promote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,-14,0.2,0.1,0.591607978,Stated,Stated,35,,2019,16,0.7,0.1,0.591607978,Stated,Stated,35,,,0.5,30,0,,0.5,0.00,Significant,,t2 - t11,30,0.20,0.59,35.00,0.70,0.59,35,,No,-6,30,> 20 years,No,No,d(RM) approx. using t. ,d(RM),,,,,,,,,,,3.474910071,2.430072378,0.755476118,0.50,0.845154255,0.013972793,0.010204082,0.155489147,0.00000000000,1,0,,0,0.155489147,No,NA,,0,0.155489147,0.155489147
6,Quant+Qual,18,McDougall 2013 Alpine road update,McDougall 2013,Published Paper,2013,Ecological Management and Restoration,AlpineRd,2003,Burnt < 20 ya,Ceased 1993,Ceased,Ongoing (treatment),Ongoing,1750,1750,1750,> 1600,1750,> 1600,"Multiple, slight",Variable slope,Slope,Multiple,Unspecified,Unspecified,Unspecified,Decreasing,Decrease,"Big River Fire Track, Falls Creek, Victoria","Big River Fire Track, Falls Creek, Victoria",Bogong High Plains,-36.88643224,147.2418571,Mainland,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"35 plots 10m apart, 3m wide, sampling using 1m2 frame ","Field, observational",Single site,35,35,Ongoing patch herbicide application,"Recovery from cleared land using exotic species & fertiliser application (localised ""regen"")",Alpine heathland / grassland,Heathland (dry) / Grassland,,Fertiliser applied (c1950s) + Exotic flora planted (c1950s) + Fire (2003),Fire (< 20 ya) + Restoration (> 10 ya),"Fire + Exotic species planted, fertiliser applied","Fire + Exotic species planted, fertiliser applied",Fire,16,,Shrubs,,,,,,,,Shrub,Shrub,Species richness (species / m2),Species richness (species / m2),Richness,Richness,Richness,No change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quant+Qual,26,"Cherubin et al. 2019, feral horse impacts",Cherubin et al. 2019,Published Paper,2019,Ecological Management and Restoration,1,Unspecified,Unknown,Horses & deer (invasive),Ongoing (invasive and / or livestock),Unspecified,Unspecified,NA,1600-1800,1600,1200 - 1600,1800,> 1600,,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,Higher exposure > control,Increase,Bogonog High Plains,"BHP, Victoria",Bogong High Plains,-36.88643224,147.2418571,Mainland,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"20 sites surveyed as part of alpine skink study. Sites had low, medium and high horse impact based on scat count. 20x sites, with 4 evently spaced trasects. Vege survey using ""points"" every time a vege touched a lole at 1m intervals, along two 50m transects. ","Field, observational",Single site,80,20,,Fauna survey investigating feral horse impact,Heathland (dry),Heathland (dry),Heathland,Horse activity (high),Tourism (horse),Tourism (horse trail),Tourism,Tourism,,,Dwarf shrubs,,,,,,,,Dwarf shrubs (< 0.2 m),Community / Ecosystem,Mean abundance,"Mean abundance, see slides",Cover-abundance,Cover,Abundance,Reduce,,,2019,No tourism,1.470588235,0.342824889,2.168214975,80,Yes,Calculated,"P provided. As the exposure value is 0, unable to calculate SEM or SD. Inferred SD and SEM of total shrubs at t(0).  ",,2019,0,0,0.342824889,2.168214975,80,Calculated,"P provided. As the exposure value is 0, unable to calculate SEM or SD. Inferred SD and SEM of total shrubs at t(0).  ",-1.470588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,Not Significant,,2003 horse permit introduced,16,1.470588235,2.168214975,80,0,2.168214975,80,,No,0,NA,No time frame ,No,No,d(IG),d(IG),,,,,,-1.470588235,19.33240586,-0.076068558,0.025,1.80826E-05,,,,,,,,,,,,,-0.076068558,1.80826E-05,No,NA,,-0.076068558,1.80826E-05,1.80826E-05
8,Quant+Qual,26,"Cherubin et al. 2019, feral horse impacts",Cherubin et al. 2019,Published Paper,2019,Ecological Management and Restoration,1,Unspecified,Unknown,Horses & deer (invasive),Ongoing (invasive and / or livestock),Unspecified,Unspecified,NA,1400-1480,1400,1200 - 1600,1480,1200 - 1600,,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,Higher exposure > control,Increase,Bogonog High Plains,"BHP, Victoria",Bogong High Plains,-36.88643224,147.2418571,Mainland,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"20 sites surveyed as part of alpine skink study. Sites had low, medium and high horse impact based on scat count. 20x sites, with 4 evently spaced trasects. Vege survey using ""points"" every time a vege touched a lole at 1m intervals, along two 50m transects. ","Field, observational",Single site,80,20,,Fauna survey investigating feral horse impact,Heathland (dry),Heathland (dry),Heathland,Horse activity (high),Tourism (horse),Tourism (horse trail),Tourism,Tourism,,,Shrubs,,,,,,,,Shrub,Shrub,Mean abundance,"Mean abundance, see slides",Cover-abundance,Cover,Abundance,Reduce,,,2019,No tourism,50.20109395,0.342824889,2.168214975,80,Yes,Calculated,"Values used as control are ""Low horse activity"" sites and exposure as ""High horse activity"" sites.",,2019,0,33.84276806,0.342824889,2.168214975,80,Calculated,"Values used as control are ""Low horse activity"" sites and exposure as ""High horse activity"" sites.",-16.35832589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,Not Significant,,2003 horse permit introduced,16,50.20109395,2.168214975,80,33.84276806,2.168214975,80,,No,0,NA,No time frame ,No,No,d(IG),d(IG),,,,,,-16.35832589,19.33240586,-0.846160897,0.025,0.002237463,,,,,,,,,,,,,-0.846160897,0.002237463,No,NA,,-0.846160897,0.002237463,0.002237463
9,QualOnly,26,"Cherubin et al. 2019, feral horse impacts",Cherubin et al. 2019,Published Paper,2019,Ecological Management and Restoration,1,Unspecified,Unknown,Horses & deer (invasive),Ongoing (invasive and / or livestock),,Unspecified,NA,1600-1800,1600,1200 - 1600,1800,> 1600,,Plateau,Unspecified,None,Unspecified,Unspecified,Unspecified,Higher exposure > control,Increase,Bogonog High Plains,"BHP, Victoria",Bogong High Plains,-36.88643224,147.2418571,Mainland,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"20 sites surveyed as part of alpine skink study. Sites had low, medium and high horse impact based on scat count. 20x sites, with 4 evently spaced trasects. Vege survey using ""points"" every time a vege touched a lole at 1m intervals, along two 50m transects. ","Field, observational",Single site,80,20,,Fauna survey investigating feral horse impact,Heathland (dry),Heathland (dry),Heathland,Horse activity (high),Tourism (horse),Tourism (horse trail),Tourism,Tourism,,,Tall shrubs,,,,,,,,Tall shrubs (> 0.7 m),Community / Ecosystem,Mean abundance,"Mean abundance, see slides",Cover-abundance,Cover,Abundance,No change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,No time frame ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,QualOnly,33,McDougall et al. 2015 Recovery after fire,McDougall et al. 2015,Published Paper,2015,Australian Journal of Botany,1,"Last burnt 1939, then 2003 / 2006",Burnt < 20 ya,Unspecified,Unspecified (likely ceased),,Unspecified,NA,1350-1750,1350,1200 - 1600,1750,> 1600,Unspecified,Plateau,Plateau,Unspecified,Unspecified,Unspecified,Unspecified,"Unspecified likely high following fire, and decreasing",Decrease,Treeless subalpine plains of KNP,"Multiple, KNP",Mt Kosciuszko region,-36.45624173,148.2643282,Mainland,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,BA,3 Paired BA,"60 x 5m x 5m quadrat, randomly placed.Observational, control is pre-fire observation. Repeat visit. ","Field, observational",Multiple sites,60,1,,Recovery from fire,Non-groundwater-dependent seeder shrubland,Heathland (dry),Heathland,Fire 2003,Fire ( < 20 ya),Fire ,Fire,Fire,9,NA,Epacris microphylla,Ericaceae,Tall,Subalpine,"Subalpine, Nonalpine",Dry,,Resprouter,Epacris microphylla,Species,Cover,"""Counts of cover values"" in both figures and in text. ",Cover-abundance,Cover,Cover,Reduce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,Significant,,,,,,,,,,,,NA,NA,No time frame ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
