UniqueCode,QualQuantInc,CADIMA Ref,Author,Study,PubYear,Journal,Study ID,Fire,Grazing,Tourism,Elevation_Stated,Elevation_Est,Elev_Est_Lower,Elev_Est_Upper,Slope,Slope_New,Landform,Landform_Analysis,Aspect,Temperature,Rainfall,Snow,Bare ground,Studysite,Loc.y,Loc.x,Studysite.aggregate,StudySite.LatLong,Loc.y2,Loc.x2,Studysite.aggregate.2,Loc.y.2,Loc.x.2,Study design,Independence?,Study details,Sampling method,Scale,N,r,Other?,Reason for study,Initial ES?,Aggregate.InitialES,Aggregate.InitialES2,Shrub.Dominant,Treatment,TreatmentAggregate1,TreatmentAggregate2,Treatment_Thematic,Treatment_Thematic1,TimeSinceFire...50,TimeSinceGrazing,Response,Family,Form.Category,Alpine.Zone,Alpine.Zone2,Region,Groundwater Association,Ecosystem Types,Seeder.Resprouter,Seeder.Resprouter2,Old.Response,Response.Level,Metric,Metric-Notes,Metric.Aggregate,Metric.Aggregate.Old,QualDirection,Control.Exposure,Design,Year.Initial,Mean...71,SD...72,Year.Final,Mean...74,SD...75,TimeSpan,MeanChange...77,AnnualChange,StandardisedAnnualChange,StandardisedAnnualChange.2,MeanChange...81,TimeSinceFire.New,Climate,Climate.Confounding?,Grazing.Confounding,ID,RainJuly,RainJan,JanTempMin,JanTempMax,JulyTempMin,JulyTempMax
2,Quant+Qual,14,"Camac et al. 2013, fire severity",Camac et al. 2013,2013,,Ohb,2003,"Partial cease 1991, total cease 2003",Unspecified,NA,1600-1800,1600,1800,Unspecified,Summit,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,"Higher burnt, lower unburnt","BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"40 sites at random, transect with cover recorded (single 50m transect per site, fix 6m2 quadrats at 10m intervals).","Field, observational",Single site,200,5,,Recovery from fire,Closed heathland (dry),Heathland (dry),Heathland,Shrub-dominant,Fire (c 2003) + High bare ground (15% - 20%),Fire ( < 20 ya),Fire,Fire,Fire,9,,Closed heathland (dry),Mixed,Mixed,Mixed,Alpine Subalpine,Mixed,Dry,,Mixed,Mixed,Closed heathland (dry),Community / Ecosystem,Shrub cover (%),Shrub cover,Cover,Cover,Reduce,Exposure,BA,2002,19.4,43.0016853,2012,14.55555556,25.99129759,10,-4.8444444444444432,-0.48444444444444434,-0.48444444444444434,-0.484444,-4.844444444,9,Omit,Fire during study period,Yes,"BHP, Victoria 2012",86.34999847,63.05000305,8.25,20,-2.5,4
3,Quant+Qual,14,"Camac et al. 2013, fire severity",Camac et al. 2013,2013,,Oha,2003,"Partial cease 1991, total cease 2003",Unspecified,NA,1600-1800,1600,1800,Unspecified,Summit,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,"Higher burnt, lower unburnt","BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"40 sites at random, transect with cover recorded (single 50m transect per site, fix 6m2 quadrats at 10m intervals).","Field, observational",Single site,200,5,,Recovery from fire,Closed heathland (dry),Heathland (dry),Heathland,Shrub-dominant,Fire (c 2003) + High bare ground (15% - 20%),Fire ( < 20 ya),Fire,Fire,Fire,5,,Closed heathland (dry),Mixed,Mixed,Mixed,Alpine Subalpine,Mixed,Dry,,Mixed,Mixed,Closed heathland (dry),Community / Ecosystem,Shrub cover (%),Shrub cover,Cover,Cover,Reduce,Control,CI,2008,25.3,14.78850905,2008,81.5,9.803060747,5,56.2,11.24,11.24,11.24,56.2,5,Omit CI design,Omit CI design,Yes,"BHP, Victoria 2008",146.4499969,89.40000153,9.25,20.75,-3,3
3,Quant+Qual,14,"Camac et al. 2013, fire severity",Camac et al. 2013,2013,,Oha,2003,"Partial cease 1991, total cease 2003",Unspecified,NA,1600-1800,1600,1800,Unspecified,Summit,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,"Higher burnt, lower unburnt","BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"40 sites at random, transect with cover recorded (single 50m transect per site, fix 6m2 quadrats at 10m intervals).","Field, observational",Single site,200,5,,Recovery from fire,Closed heathland (dry),Heathland (dry),Heathland,Shrub-dominant,Fire (c 2003) + High bare ground (15% - 20%),Fire ( < 20 ya),Fire,Fire,Fire,5,,Closed heathland (dry),Mixed,Mixed,Mixed,Alpine Subalpine,Mixed,Dry,,Mixed,Mixed,Closed heathland (dry),Community / Ecosystem,Shrub cover (%),Shrub cover,Cover,Cover,Reduce,Exposure,CI,2008,81.5,9.803060747,2008,25.3,14.78850905,5,-56.2,-11.24,-11.24,-11.24,-56.2,5,Omit CI design,Omit CI design,Yes,"BHP, Victoria 2008",146.4499969,89.40000153,9.25,20.75,-3,3
5,Quant+Qual,18,McDougall 2013 Alpine road update,McDougall 2013,2013,,AlpineRd,2003,Ceased 1993,Ongoing (treatment),1750,1750,1750,1750,"Multiple, slight",Slope,Slope,Slope / Peak,Multiple,Unspecified,Unspecified,Unspecified,Decreasing,"Warby Corner, Victoria",-36.83020229,147.3313051,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"35 plots 10m apart, 3m wide, sampling using 1m2 frame","Field, observational",Single site,35,35,Ongoing patch herbicide application,"Recovery from cleared land using exotic species & fertiliser application (localised ""regen"")",Alpine heathland / grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fertiliser applied (c1950s) + Exotic flora planted (c1950s) + Fire (2003),Fire (< 20 ya) + Restoration (> 10 ya),Fire + Restoration,Fire + Restoration,Fire,16,,Shrubs,Mixed,Mixed,Mixed,Alpine Subalpine,Mixed,Mixed,,Mixed,Mixed,Shrub,Shrub,Shrub cover,Shrub cover,Cover,Cover,Promote,Exposure,BA,1989,0,0.452761208,2019,2.2,4.829452884,30,2.2000000000000002,7.3333333333333334E-2,7.3333333333333334E-2,0.073333,2.2,16,Yes,Historical Fire,Yes,"BHP, Victoria 2019",93.95000458,51.57499695,10.25,23,-1.25,4.75
6,Quant+Qual,18,McDougall 2013 Alpine road update,McDougall 2013,2013,,AlpineRd,2003,Ceased 1993,Ongoing (treatment),1750,1750,1750,1750,"Multiple, slight",Slope,Slope,Slope / Peak,Multiple,Unspecified,Unspecified,Unspecified,Decreasing,"Warby Corner, Victoria",-36.83020229,147.3313051,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,BA,3 Paired BA,"35 plots 10m apart, 3m wide, sampling using 1m2 frame","Field, observational",Single site,35,35,Ongoing patch herbicide application,"Recovery from cleared land using exotic species & fertiliser application (localised ""regen"")",Alpine heathland / grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,Fertiliser applied (c1950s) + Exotic flora planted (c1950s) + Fire (2003),Fire (< 20 ya) + Restoration (> 10 ya),Fire + Restoration,Fire + Restoration,Fire,16,,Shrubs,Mixed,Mixed,Mixed,Alpine Subalpine,Mixed,Mixed,,Mixed,Mixed,Shrub,Shrub,Species richness (species / m2),Species richness (species / m2),Richness,Richness,No change,Exposure,BA,1989,0.2,0.591607978,2019,0.7,0.591607978,30,0.49999999999999994,NA,,0,0.5,16,Yes,Historical Fire,Yes,"BHP, Victoria 2019",93.95000458,51.57499695,10.25,23,-1.25,4.75
7,Quant+Qual,26,"Cherubin et al. 2019, feral horse impacts",Cherubin et al. 2019,2019,,1,Unspecified,Horses & deer (invasive),,NA,1600-1800,1600,1800,,Summit,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,Higher exposure > control,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"20 sites surveyed as part of alpine skink study. Sites had low, medium and high horse impact based on scat count. 20x sites, with 4 evently spaced trasects. Vege survey using ""points"" every time a vege touched a lole at 1m intervals, along two 50m transects.","Field, observational",Single site,80,20,,Fauna survey investigating feral horse impact,Heathland (dry),Heathland (dry),Heathland,Shrub-dominant,Horse activity (high),Tourism (horse),Tourism (horse trail),Tourism,Tourism,,,Dwarf shrubs,,,,,,,,,Mixed,Dwarf shrubs (< 0.2 m),Community / Ecosystem,Mean abundance,"Mean abundance, see slides",Cover,Abundance,Reduce,Control,CI,2019,0,2.168214975,2019,1.470588235,2.168214975,,1.4705882352941175,NA,NA,,1.470588235,,Omit CI design,Omit CI design,No,"BHP, Victoria 2019",93.95000458,51.57499695,10.25,23,-1.25,4.75
7,Quant+Qual,26,"Cherubin et al. 2019, feral horse impacts",Cherubin et al. 2019,2019,,1,Unspecified,Horses & deer (invasive),,NA,1600-1800,1600,1800,,Summit,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,Higher exposure > control,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"20 sites surveyed as part of alpine skink study. Sites had low, medium and high horse impact based on scat count. 20x sites, with 4 evently spaced trasects. Vege survey using ""points"" every time a vege touched a lole at 1m intervals, along two 50m transects.","Field, observational",Single site,80,20,,Fauna survey investigating feral horse impact,Heathland (dry),Heathland (dry),Heathland,Shrub-dominant,Horse activity (high),Tourism (horse),Tourism (horse trail),Tourism,Tourism,,,Dwarf shrubs,,,,,,,,,Mixed,Dwarf shrubs (< 0.2 m),Community / Ecosystem,Mean abundance,"Mean abundance, see slides",Cover,Abundance,Reduce,Exposure,CI,2019,1.470588235,2.168214975,2019,0,2.168214975,,-1.4705882352941175,NA,NA,,-1.470588235,,Omit CI design,Omit CI design,No,"BHP, Victoria 2019",93.95000458,51.57499695,10.25,23,-1.25,4.75
8,Quant+Qual,26,"Cherubin et al. 2019, feral horse impacts",Cherubin et al. 2019,2019,,1,Unspecified,Horses & deer (invasive),,NA,1400-1480,1400,1480,,Summit,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,Higher exposure > control,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"20 sites surveyed as part of alpine skink study. Sites had low, medium and high horse impact based on scat count. 20x sites, with 4 evently spaced trasects. Vege survey using ""points"" every time a vege touched a lole at 1m intervals, along two 50m transects.","Field, observational",Single site,80,20,,Fauna survey investigating feral horse impact,Heathland (dry),Heathland (dry),Heathland,Shrub-dominant,Horse activity (high),Tourism (horse),Tourism (horse trail),Tourism,Tourism,,,Shrubs,,,,,,,,,Mixed,Shrub,Shrub,Mean abundance,"Mean abundance, see slides",Cover,Abundance,Reduce,Control,CI,2019,33.84276806,2.168214975,2019,50.20109395,2.168214975,,16.358325886538388,NA,NA,,16.35832589,,Omit CI design,Omit CI design,No,"BHP, Victoria 2019",93.95000458,51.57499695,10.25,23,-1.25,4.75
8,Quant+Qual,26,"Cherubin et al. 2019, feral horse impacts",Cherubin et al. 2019,2019,,1,Unspecified,Horses & deer (invasive),,NA,1400-1480,1400,1480,,Summit,Plateau,Plateau,None,Unspecified,Unspecified,Unspecified,Higher exposure > control,"BHP, Victoria",-36.88643224,147.2418571,"BHP, Victoria","-36.8864322376897, 147.2418570718984",-36.88643224,147.2418571,"BHP, Victoria",-36.88643224,147.2418571,CI,1 Impact control,"20 sites surveyed as part of alpine skink study. Sites had low, medium and high horse impact based on scat count. 20x sites, with 4 evently spaced trasects. Vege survey using ""points"" every time a vege touched a lole at 1m intervals, along two 50m transects.","Field, observational",Single site,80,20,,Fauna survey investigating feral horse impact,Heathland (dry),Heathland (dry),Heathland,Shrub-dominant,Horse activity (high),Tourism (horse),Tourism (horse trail),Tourism,Tourism,,,Shrubs,,,,,,,,,Mixed,Shrub,Shrub,Mean abundance,"Mean abundance, see slides",Cover,Abundance,Reduce,Exposure,CI,2019,50.20109395,2.168214975,2019,33.84276806,2.168214975,,-16.358325886538388,NA,NA,,-16.35832589,,Omit CI design,Omit CI design,No,"BHP, Victoria 2019",93.95000458,51.57499695,10.25,23,-1.25,4.75
17,Quant+Qual,33,McDougall et al. 2015 Recovery after fire,McDougall et al. 2015,2015,,1,"Last burnt 1939, then 2003 / 2006",Unspecified,,NA,1350-1750,1350,1750,Unspecified,Summit,Plateau,Plateau,Unspecified,Unspecified,Unspecified,Unspecified,"Unspecified likely high following fire, and decreasing",Treeless subalpine plains of KNP,-36.38080178,148.3589276,"KNP, NSW","-36.38080178273203, 148.35892764723545",-36.38080178,148.3589276,"KNP, NSW",-36.38080178,148.3589276,BA,3 Paired BA,"60 x 5m x 5m quadrat, randomly placed.Observational, control is pre-fire observation. Repeat visit.","Field, observational",Multiple sites,60,1,,Recovery from fire,Groundwater-dependent fire-sensitive vegetation,Heathland (wet) / Grassland,Bog,Shrub-dominant,Fire 2003,Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Dracophyllum continentis,Ericaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Wet,"Bogs,  heath",Fire killed,No fire tolerance,Richea continentis,Species,Cover,"""Counts of cover values"" in both figures and in text.",Cover,Cover,Promote,Exposure,BA,2002,1.2,1.303840481,2012,1.2,2.167948339,10,0,0,0,0,0,9,Omit,Fire during study period,No,"KNP, NSW 2012",101.4250031,74.84999847,6.25,19.25,-4.75,3.25
